feature set size,score
20,0.5
30,0.6666666666666667
40,0.875
50,0.82
60,0.8666666666666666
70,0.8857142857142856
80,0.8625
90,0.788888888888889
100,0.85
110,0.8
120,0.8333333333333334
130,0.7846153846153845
140,0.8071428571428572
150,0.7866666666666667
160,0.78125
170,0.7823529411764706
180,0.7666666666666667
190,0.7736842105263159
200,0.75
210,0.7428571428571428
220,0.7090909090909092
230,0.7434782608695653
240,0.7375
250,0.72
260,0.7230769230769232
270,0.7185185185185186
280,0.7464285714285714
290,0.7206896551724137
300,0.7166666666666667
310,0.7129032258064518
320,0.728125
330,0.7030303030303031
340,0.7029411764705882
350,0.7
360,0.6916666666666667
370,0.6945945945945946
380,0.7026315789473684
390,0.6948717948717948
400,0.6875
410,0.6799999999999999
420,0.6799999999999999
430,0.6799999999999999
